Date,LINCPEN
2015-03-09,168.4
2015-03-10,166.1
2015-03-11,165.0
2015-03-12,164.0
2015-03-13,156.45
2015-03-16,148.15
2015-03-17,148.4
2015-03-18,146.7
2015-03-19,147.45
2015-03-20,146.95
2015-03-23,145.05
2015-03-24,147.25
2015-03-25,146.0
2015-03-26,141.85
2015-03-27,144.05
2015-03-30,145.45
2015-03-31,145.95
2015-04-01,159.5
2015-04-06,156.55
2015-04-07,159.2
2015-04-08,160.2
2015-04-09,155.0
2015-04-10,158.95
2015-04-13,163.65
2015-04-15,183.4
2015-04-16,177.3
2015-04-17,177.5
2015-04-20,166.2
2015-04-21,168.25
2015-04-22,162.4
2015-04-23,167.3
2015-04-24,154.0
2015-04-27,146.95
2015-04-28,149.3
2015-04-29,153.05
2015-04-30,157.4
2015-05-04,155.6
2015-05-05,156.1
2015-05-06,145.65
2015-05-07,144.9
2015-05-08,148.95
2015-05-11,154.4
2015-05-12,144.65
2015-05-13,151.2
2015-05-14,156.05
2015-05-15,156.6
2015-05-18,159.15
2015-05-19,162.65
2015-05-20,162.8
2015-05-21,162.85
2015-05-22,166.5
2015-05-25,161.45
2015-05-26,152.45
2015-05-27,155.05
2015-05-28,153.9
2015-05-29,155.0
2015-06-01,151.1
2015-06-02,151.1
2015-06-03,150.5
2015-06-04,150.3
2015-06-05,152.1
2015-06-08,151.95
2015-06-09,149.0
2015-06-10,150.25
2015-06-11,148.35
2015-06-12,150.6
2015-06-15,155.05
2015-06-16,155.05
2015-06-17,156.9
2015-06-18,156.4
2015-06-19,157.5
2015-06-22,151.75
2015-06-23,151.75
2015-06-24,152.4
2015-06-25,151.4
2015-06-26,150.65
2015-06-29,150.35
2015-06-30,150.9
2015-07-01,154.2
2015-07-02,154.0
2015-07-03,155.35
2015-07-06,156.65
2015-07-07,161.3
2015-07-08,155.0
2015-07-09,157.35
2015-07-10,176.85
2015-07-13,173.85
2015-07-14,168.9
2015-07-15,169.7
2015-07-16,169.0
2015-07-17,173.05
2015-07-20,168.3
2015-07-21,169.55
2015-07-22,168.75
2015-07-23,169.0
2015-07-24,172.85
2015-07-27,171.85
2015-07-28,172.05
2015-07-29,178.9
2015-07-30,182.4
2015-07-31,177.5
2015-08-03,178.0
2015-08-04,177.0
2015-08-05,188.1
2015-08-06,187.45
2015-08-07,185.0
2015-08-10,194.35
2015-08-11,187.4
2015-08-12,178.7
2015-08-13,166.25
2015-08-14,166.85
2015-08-17,174.65
2015-08-18,177.45
2015-08-19,169.55
2015-08-20,167.8
2015-08-21,166.5
2015-08-24,149.75
2015-08-25,147.55
2015-08-26,152.95
2015-08-27,158.1
2015-08-28,153.95
2015-08-31,155.8
2015-09-01,152.7
2015-09-02,155.95
2015-09-03,155.8
2015-09-04,147.65
2015-09-07,147.15
2015-09-08,150.2
2015-09-09,155.45
2015-09-10,147.85
2015-09-11,151.15
2015-09-14,149.95
2015-09-15,151.85
2015-09-16,152.35
2015-09-18,152.85
2015-09-21,155.35
2015-09-22,151.55
2015-09-23,151.15
2015-09-24,151.05
2015-09-28,150.75
2015-09-29,151.95
2015-09-30,153.8
2015-10-01,154.65
2015-10-05,153.65
2015-10-06,156.9
2015-10-07,157.0
2015-10-08,157.0
2015-10-09,161.65
2015-10-12,159.85
2015-10-13,160.0
2015-10-14,163.45
2015-10-15,165.3
2015-10-16,164.2
2015-10-19,165.45
2015-10-20,164.7
2015-10-21,166.5
2015-10-23,163.3
2015-10-26,161.4
2015-10-27,162.15
2015-10-28,160.7
2015-10-29,164.45
2015-10-30,162.65
2015-11-02,164.7
2015-11-03,161.0
2015-11-04,164.55
2015-11-05,168.8
2015-11-06,163.35
2015-11-09,163.7
2015-11-10,163.55
2015-11-11,164.8
2015-11-13,160.85
2015-11-16,162.05
2015-11-17,164.7
2015-11-18,168.6
2015-11-19,170.0
2015-11-20,170.75
2015-11-23,170.0
2015-11-24,172.9
2015-11-26,173.1
2015-11-27,175.2
2015-11-30,184.75
2015-12-01,186.65
2015-12-02,184.45
2015-12-03,179.6
2015-12-04,178.45
2015-12-07,176.65
2015-12-08,173.15
2015-12-09,172.4
2015-12-10,175.55
2015-12-11,181.55
2015-12-14,184.85
2015-12-15,184.9
2015-12-16,188.25
