Date,VIPCLOTHNG
2013-03-01,15.9
2013-03-04,16.25
2013-03-05,16.0
2013-03-06,16.55
2013-03-07,17.05
2013-03-08,17.85
2013-03-11,17.2
2013-03-12,16.6
2013-03-13,16.5
2013-03-14,16.5
2013-03-15,16.65
2013-03-18,16.6
2013-03-19,16.05
2013-03-20,16.25
2013-03-21,15.3
2013-03-22,14.9
2013-03-25,14.35
2013-03-26,13.9
2013-03-28,13.9
2013-04-01,14.6
2013-04-02,15.85
2013-04-03,16.8
2013-04-04,16.0
2013-04-05,15.75
2013-04-08,15.3
2013-04-09,15.1
2013-04-10,15.35
2013-04-11,15.0
2013-04-12,15.25
2013-04-15,14.75
2013-04-16,14.9
2013-04-17,14.8
2013-04-18,14.8
2013-04-22,15.15
2013-04-23,15.0
2013-04-25,15.0
2013-04-26,14.75
2013-04-29,14.7
2013-04-30,14.75
2013-05-02,14.65
2013-05-03,14.85
2013-05-06,14.55
2013-05-07,14.9
2013-05-08,14.85
2013-05-09,14.7
2013-05-10,15.0
2013-05-11,15.15
2013-05-13,15.05
2013-05-14,14.7
2013-05-15,15.05
2013-05-16,14.8
2013-05-17,15.25
2013-05-20,15.0
2013-05-21,15.15
2013-05-22,14.75
2013-05-23,14.25
2013-05-24,14.3
2013-05-27,14.5
2013-05-28,14.6
2013-05-29,13.85
2013-05-30,13.8
2013-05-31,13.4
2013-06-03,13.0
2013-06-04,12.85
2013-06-05,12.7
2013-06-06,13.4
2013-06-07,13.5
2013-06-10,12.65
2013-06-11,12.35
2013-06-12,12.0
2013-06-13,11.55
2013-06-14,12.0
2013-06-17,11.85
2013-06-18,11.9
2013-06-19,11.65
2013-06-20,10.65
2013-06-21,10.5
2013-06-24,9.7
2013-06-25,10.0
2013-06-26,9.4
2013-06-27,9.95
2013-06-28,10.85
2013-07-01,10.95
2013-07-02,10.95
2013-07-03,10.8
2013-07-04,10.75
2013-07-05,11.1
2013-07-08,10.95
2013-07-09,10.4
2013-07-10,11.85
2013-07-11,13.8
2013-07-12,14.8
2013-07-15,14.95
2013-07-16,14.95
2013-07-17,14.9
2013-07-18,15.0
2013-08-30,11.95
2013-09-02,12.2
2013-09-03,12.35
2013-09-04,11.95
2013-09-05,12.5
2013-09-06,13.25
2013-09-10,12.8
2013-09-11,12.0
2013-09-12,12.15
2013-09-13,13.25
2013-09-16,14.55
2013-09-17,14.6
2013-09-18,14.05
2013-09-19,14.0
2013-09-20,13.8
2013-09-23,13.9
2013-09-24,13.75
2013-09-25,14.0
2013-09-26,14.65
2013-09-27,14.4
2013-09-30,14.65
2013-10-01,13.55
2013-10-03,14.5
2013-10-04,14.5
2013-10-07,14.4
2013-10-08,14.85
2013-10-09,15.7
2013-10-10,15.45
2013-10-11,15.35
2013-10-14,15.0
2013-10-15,14.4
2013-10-17,14.8
2013-10-18,14.6
2013-10-21,14.25
2013-10-22,14.85
2013-10-23,14.65
2013-10-24,14.7
2013-10-25,14.8
2013-10-28,14.25
2013-10-29,14.1
2013-10-30,14.65
2013-10-31,14.7
2013-11-01,14.5
2013-11-03,14.65
2013-11-05,14.95
2013-11-06,15.2
2013-11-07,16.15
2013-11-08,18.9
2013-11-11,17.1
2013-11-12,15.75
2013-11-13,15.85
2013-11-14,16.6
2013-11-18,15.45
2013-11-19,15.4
2013-11-20,16.25
2013-11-21,16.4
2013-11-22,17.45
2013-11-25,18.7
2013-11-26,17.6
2013-11-27,15.95
2013-11-28,16.25
2013-11-29,16.25
2013-12-02,16.35
2013-12-03,16.25
2013-12-04,15.95
2013-12-05,15.7
2013-12-06,16.0
2013-12-09,16.05
2013-12-10,16.1
2013-12-11,16.4
2013-12-12,16.45
2013-12-13,16.1
2013-12-16,16.0
2013-12-17,16.05
2013-12-18,16.1
2013-12-19,15.5
2013-12-20,15.6
2013-12-23,15.3
2013-12-24,15.7
2013-12-26,15.7
2013-12-27,15.75
2013-12-30,16.25
2013-12-31,16.0
2014-01-01,17.4
2014-01-02,16.6
2014-01-03,16.25
2014-01-06,17.05
2014-01-07,16.95
2014-01-08,17.05
2014-01-09,17.15
2014-01-10,17.15
2014-01-13,16.55
2014-01-14,16.35
2014-01-15,16.65
2014-01-16,16.1
2014-01-17,15.9
2014-01-20,15.95
2014-01-21,16.0
2014-01-22,15.8
2014-01-23,15.6
2014-01-24,15.1
2014-01-27,14.85
2014-01-28,14.65
2014-01-29,14.8
2014-01-30,13.95
2014-01-31,13.75
2014-02-03,14.1
2014-02-04,13.8
2014-02-05,14.15
2014-02-06,14.15
2014-02-07,14.25
2014-02-10,14.2
2014-02-11,13.7
2014-02-12,15.1
2014-02-13,15.2
2014-02-14,14.25
2014-02-17,13.9
2014-02-18,14.95
2014-02-19,15.4
