Date,FMGOETZE
2013-01-01,204.15
2013-01-02,204.95
2013-01-03,201.9
2013-01-04,201.7
2013-01-07,200.0
2013-01-08,199.55
2013-01-09,197.65
2013-01-10,196.7
2013-01-11,191.5
2013-01-14,192.8
2013-01-15,193.35
2013-01-16,193.65
2013-01-17,200.5
2013-01-18,198.1
2013-01-21,197.4
2013-01-22,192.45
2013-01-23,194.15
2013-01-24,193.55
2013-01-25,192.95
2013-01-28,192.25
2013-01-29,194.5
2013-01-30,200.9
2013-01-31,200.0
2013-02-01,199.15
2013-02-04,204.2
2013-02-05,199.95
2013-02-06,199.85
2013-02-07,200.35
2013-02-08,198.1
2013-02-11,198.75
2013-02-12,194.35
2013-02-13,197.2
2013-02-14,200.0
2013-02-15,196.9
2013-02-18,198.1
2013-02-19,197.55
2013-02-20,199.55
2013-02-21,197.4
2013-02-22,197.8
2013-02-25,199.35
2013-02-26,195.05
2013-02-27,197.05
2013-02-28,198.45
2013-03-01,199.15
2013-03-04,198.95
2013-03-05,198.65
2013-03-06,195.6
2013-03-07,199.85
2013-03-08,199.0
2013-03-11,198.9
2013-03-12,200.2
2013-03-13,200.75
2013-03-14,198.15
2013-03-15,199.4
2013-03-18,201.9
2013-03-19,202.25
2013-03-20,199.85
2013-03-21,198.65
2013-03-22,200.3
2013-03-25,199.15
2013-03-26,199.85
2013-03-28,200.1
2013-04-01,204.3
2013-04-02,200.3
2013-04-03,200.3
2013-04-04,199.85
2013-04-05,199.9
2013-04-08,199.75
2013-04-09,198.05
2013-04-10,201.15
2013-04-11,203.5
2013-04-12,198.55
2013-04-15,199.95
2013-04-16,199.85
2013-04-17,199.85
2013-04-18,199.85
2013-04-22,199.1
2013-04-23,202.25
2013-04-25,200.0
2013-04-26,198.6
2013-04-29,198.1
2013-04-30,198.0
2013-05-02,200.0
2013-05-03,200.0
2013-05-06,198.15
2013-05-07,198.7
2013-05-08,200.4
2013-05-09,200.8
2013-05-10,214.4
2013-05-11,213.05
2013-05-13,203.4
2013-05-14,200.6
2013-05-15,202.8
2013-05-16,202.1
2013-05-17,202.85
2013-05-20,202.3
2013-05-21,202.0
2013-05-22,202.35
2013-05-23,202.75
2013-05-24,202.6
2013-05-27,202.75
2013-05-28,202.15
2013-05-29,202.85
2013-05-30,201.95
2013-05-31,202.5
2013-06-03,208.6
2013-06-04,202.6
2013-06-05,201.35
2013-06-06,200.15
2013-06-07,200.0
2013-06-10,200.0
2013-06-11,200.0
2013-06-12,200.0
2013-06-13,202.45
2013-06-14,201.35
2013-06-17,203.0
2013-06-18,203.0
2013-06-19,203.0
2013-06-20,203.7
2013-06-21,203.0
2013-06-24,202.0
2013-06-25,202.6
2013-06-26,202.2
2013-06-27,201.9
2013-06-28,201.35
2013-07-01,201.45
2013-07-02,203.4
2013-07-03,201.55
2013-07-04,203.0
2013-07-05,202.95
2013-07-08,203.9
2013-07-09,204.55
2013-07-10,201.55
2013-07-11,202.65
2013-07-12,201.1
2013-07-15,201.75
2013-07-16,200.85
2013-07-17,202.3
2013-07-18,202.75
2013-07-19,202.35
2013-07-22,202.65
2013-07-23,202.05
2013-07-24,202.25
2013-07-25,203.0
2013-07-26,202.35
2013-07-29,203.0
2013-07-30,201.6
2013-07-31,203.45
2013-08-01,203.9
2013-08-02,201.25
2013-08-05,205.35
2013-08-06,202.05
2013-08-07,200.35
2013-08-08,203.65
2013-08-12,203.1
2013-08-13,205.0
2013-08-14,202.25
2013-08-16,199.45
2013-08-19,202.05
2013-08-20,200.3
2013-08-21,197.35
2013-08-22,199.7
2013-08-23,197.65
2013-08-26,197.6
2013-08-27,197.2
2013-08-28,196.8
2013-08-29,195.85
2013-08-30,197.0
2013-09-02,200.6
2013-09-03,200.0
2013-09-04,197.95
2013-09-05,196.35
2013-09-06,196.8
2013-09-10,198.35
2013-09-11,204.7
2013-09-12,198.15
2013-09-13,198.1
2013-09-16,199.4
2013-09-17,200.0
2013-09-18,200.0
2013-09-19,198.45
2013-09-20,199.1
2013-09-23,200.5
2013-09-24,197.45
2013-09-25,199.0
2013-09-26,200.7
2013-09-27,196.75
2013-10-01,199.95
2013-10-03,198.1
2013-10-04,201.0
2013-10-07,200.25
2013-10-08,198.1
2013-10-09,200.85
2013-10-10,201.7
2013-10-11,199.0
2013-10-14,196.9
2013-10-15,199.05
2013-10-17,198.1
2013-10-18,198.75
2013-10-21,198.55
2013-10-22,199.35
2013-10-23,195.65
2013-10-24,199.4
2013-10-25,198.5
2013-10-28,198.25
2013-10-29,199.0
2013-10-30,197.95
2013-10-31,197.2
2013-11-01,200.95
2013-11-03,198.95
2013-11-05,199.45
2013-11-06,199.1
2013-11-07,198.8
2013-11-08,198.6
2013-11-11,198.85
2013-11-12,197.25
2013-11-13,199.05
2013-11-14,197.0
2013-11-18,196.2
2013-11-19,194.85
2013-11-20,194.0
2013-11-21,194.0
2013-11-22,192.95
2013-11-25,194.75
2013-11-26,196.0
2013-11-27,197.1
2013-11-28,194.15
2013-11-29,194.5
2013-12-02,197.75
2013-12-03,192.9
2013-12-04,194.9
2013-12-05,193.1
2013-12-06,193.45
2013-12-09,194.4
2013-12-10,194.25
2013-12-11,193.45
2013-12-12,193.45
2013-12-13,194.0
2013-12-16,199.55
2013-12-17,198.5
2013-12-18,198.85
2013-12-19,197.0
2013-12-20,198.15
2013-12-23,198.0
2013-12-24,197.55
2013-12-26,199.75
2013-12-27,197.95
2013-12-30,197.6
2013-12-31,195.6
2014-01-01,199.75
2014-01-02,197.25
2014-01-03,198.6
2014-01-06,198.2
2014-01-07,199.5
2014-01-08,196.25
2014-01-09,195.95
2014-01-10,192.6
2014-01-13,196.25
2014-01-14,196.1
2014-01-15,194.2
2014-01-16,195.0
2014-01-17,195.05
2014-01-20,194.95
2014-01-21,194.55
2014-01-22,193.2
2014-01-23,192.5
2014-01-24,192.0
2014-01-27,192.05
2014-01-28,194.2
2014-01-29,192.2
2014-01-30,190.05
2014-01-31,188.25
2014-02-03,190.0
2014-02-04,194.35
2014-02-05,187.1
2014-02-06,188.25
2014-02-07,185.45
2014-02-10,185.2
2014-02-11,185.0
2014-02-12,185.0
2014-02-13,185.0
2014-02-14,182.75
2014-02-17,183.45
2014-02-18,184.7
2014-02-19,186.5
2014-02-20,181.45
2014-02-21,187.7
2014-02-24,188.15
2014-02-25,189.05
2014-02-26,192.4
2014-02-28,190.2
2014-03-03,188.65
2014-03-04,188.9
2014-03-05,185.25
2014-03-06,180.05
2014-03-07,186.05
2014-03-10,180.1
2014-03-11,184.45
2014-03-12,185.0
2014-03-13,194.15
2014-03-14,195.0
2014-03-18,187.5
2014-03-19,187.85
2014-03-20,185.2
2014-03-21,185.4
2014-03-22,185.85
2014-03-24,186.15
2014-03-25,181.85
2014-03-26,178.9
2014-03-27,177.3
2014-03-28,180.35
2014-03-31,177.45
2014-04-01,181.9
2014-04-02,179.1
2014-04-03,179.85
2014-04-04,177.0
2014-04-07,182.9
2014-04-09,182.0
2014-04-10,179.25
2014-04-11,180.35
2014-04-15,180.0
2014-04-16,180.0
2014-04-17,186.65
2014-04-21,200.0
2014-04-22,189.6
2014-04-23,189.05
2014-04-25,184.55
2014-04-28,183.4
2014-04-29,181.65
2014-04-30,182.25
2014-05-02,182.2
2014-05-05,182.0
2014-05-06,179.85
2014-05-07,178.05
2014-05-08,178.4
2014-05-09,178.2
2014-05-12,178.2
2014-05-13,176.4
2014-05-14,177.25
2014-05-15,177.05
2014-05-16,190.6
2014-05-19,201.05
2014-05-20,201.15
2014-05-21,200.8
2014-05-22,213.75
2014-05-23,212.0
2014-05-26,218.65
2014-05-27,218.85
2014-05-28,219.15
2014-05-29,220.65
2014-05-30,227.6
2014-06-02,226.9
2014-06-03,222.75
2014-06-04,220.45
2014-06-05,219.25
2014-06-06,223.7
2014-06-09,229.6
2014-06-10,234.3
2014-06-11,237.75
2014-06-12,240.0
2014-06-13,241.65
2014-06-16,242.2
