Date,PAPERPROD
2013-01-01,75.45
2013-01-02,74.95
2013-01-03,75.3
2013-01-04,78.35
2013-01-07,79.8
2013-01-08,78.6
2013-01-09,76.6
2013-01-10,75.55
2013-01-11,73.65
2013-01-14,75.1
2013-01-15,75.35
2013-01-16,73.3
2013-01-17,72.1
2013-01-18,70.55
2013-01-21,70.95
2013-01-22,70.6
2013-01-23,69.95
2013-01-24,68.55
2013-01-25,69.2
2013-01-28,70.8
2013-01-29,69.55
2013-01-30,69.75
2013-01-31,69.2
2013-02-01,69.3
2013-02-04,69.05
2013-02-05,68.9
2013-02-06,66.55
2013-02-07,68.1
2013-02-08,67.05
2013-02-11,67.6
2013-02-12,68.0
2013-02-13,68.0
2013-02-14,66.2
2013-02-15,64.95
2013-02-18,66.4
2013-02-19,67.8
2013-02-20,67.8
2013-02-21,65.8
2013-02-22,66.25
2013-02-25,65.9
2013-02-26,64.85
2013-02-27,64.65
2013-02-28,63.8
2013-03-01,63.1
2013-03-04,62.8
2013-03-05,63.9
2013-03-06,63.05
2013-03-07,62.8
2013-03-08,62.9
2013-03-11,62.4
2013-03-12,62.9
2013-03-13,62.4
2013-03-14,63.05
2013-03-15,63.4
2013-03-18,63.75
2013-03-19,62.85
2013-03-20,61.95
2013-03-21,61.85
2013-03-22,61.05
2013-03-25,62.75
2013-03-26,62.5
2013-03-28,62.3
2013-04-01,64.95
2013-04-02,64.85
2013-04-03,64.95
2013-04-04,63.85
2013-04-05,63.55
2013-04-08,64.4
2013-04-09,65.4
2013-04-10,64.3
2013-04-11,64.5
2013-04-12,64.15
2013-04-15,65.4
2013-04-16,65.5
2013-04-17,65.3
2013-04-18,65.25
2013-04-22,62.6
2013-04-23,63.1
2013-04-25,63.7
2013-04-26,62.85
2013-04-29,62.25
2013-04-30,62.8
2013-05-02,62.5
2013-05-03,62.2
2013-05-06,60.5
2013-05-07,62.9
2013-05-08,68.0
2013-05-09,66.95
2013-05-10,66.4
2013-05-11,68.4
2013-05-13,66.55
2013-05-14,66.6
2013-05-15,66.5
2013-05-16,66.0
2013-05-17,71.65
2013-05-20,70.95
2013-05-21,69.3
2013-05-22,67.85
2013-05-23,66.1
2013-05-24,66.2
2013-05-27,66.85
2013-05-28,67.15
2013-05-29,67.1
2013-05-30,67.2
2013-05-31,67.05
2013-06-03,66.8
2013-06-04,66.95
2013-06-05,67.0
2013-06-06,67.15
2013-06-07,67.5
2013-06-10,68.05
2013-06-11,67.15
2013-06-12,66.45
2013-06-13,66.1
2013-06-14,66.35
2013-06-17,65.95
2013-06-18,65.95
2013-06-19,66.35
2013-06-20,65.25
2013-06-21,65.2
2013-06-24,64.45
2013-06-25,63.35
2013-06-26,62.55
2013-06-27,62.85
2013-06-28,62.95
2013-07-01,63.25
2013-07-02,63.05
2013-07-03,62.4
2013-07-04,62.7
2013-07-05,62.5
2013-07-08,62.6
2013-07-09,63.05
2013-07-10,63.7
2013-07-11,64.25
2013-07-12,63.9
2013-07-15,63.5
2013-07-16,63.0
2013-07-17,63.0
2013-07-18,64.3
2013-07-19,64.1
2013-07-22,63.8
2013-07-23,63.55
2013-07-24,63.9
2013-07-25,62.8
2013-07-26,61.95
2013-07-29,61.75
2013-07-30,62.1
2013-07-31,61.2
2013-08-01,61.55
2013-08-02,60.8
2013-08-05,59.65
2013-08-06,58.1
2013-08-07,58.15
2013-08-08,60.0
2013-08-12,60.75
2013-08-13,61.8
2013-08-14,61.75
2013-08-16,60.2
2013-08-19,60.35
2013-08-20,59.95
2013-08-21,59.3
2013-08-22,60.95
2013-08-23,61.3
2013-08-26,61.75
2013-08-27,60.45
2013-08-28,59.9
2013-08-29,59.55
2013-08-30,60.2
2013-09-02,57.7
2013-09-03,57.75
2013-09-04,57.5
2013-09-05,58.2
2013-09-06,59.3
2013-09-10,60.05
2013-09-11,61.1
2013-09-12,61.3
2013-09-13,61.7
2013-09-16,60.3
2013-09-17,65.65
2013-09-18,64.85
2013-09-19,63.4
2013-09-20,62.3
2013-09-23,61.1
2013-09-24,61.65
2013-09-25,60.75
2013-09-26,61.75
2013-09-27,61.5
2013-09-30,60.4
2013-10-01,61.3
2013-10-03,61.8
2013-10-04,61.8
2013-10-07,61.65
2013-10-08,61.6
2013-10-09,63.0
2013-10-10,63.5
2013-10-11,63.55
2013-10-14,62.9
2013-10-15,61.5
2013-10-17,61.2
2013-10-18,61.6
2013-10-21,61.8
2013-10-22,62.3
2013-10-23,62.45
2013-10-24,62.7
2013-10-25,62.15
2013-10-28,62.3
2013-10-29,63.45
2013-10-30,63.0
2013-10-31,63.0
2013-11-01,63.4
2013-11-03,65.05
2013-11-05,66.05
2013-11-06,66.25
2013-11-07,65.4
2013-11-08,65.05
2013-11-11,64.1
2013-11-12,64.7
2013-11-13,63.95
2013-11-14,62.75
2013-11-18,62.8
2013-11-19,64.45
2013-11-20,64.85
2013-11-21,63.85
2013-11-22,64.15
2013-11-25,64.05
2013-11-26,64.6
2013-11-27,65.1
2013-11-28,65.75
2013-11-29,65.1
2013-12-02,66.95
2013-12-03,67.05
2013-12-04,65.4
2013-12-05,67.0
2013-12-06,67.7
2013-12-09,67.6
2013-12-10,67.25
2013-12-11,67.45
2013-12-12,68.85
2013-12-13,69.1
2013-12-16,68.9
2013-12-17,68.8
2013-12-18,71.35
2013-12-19,71.7
2013-12-20,72.95
2013-12-23,73.85
2013-12-24,72.7
2013-12-26,72.75
2013-12-27,73.2
2013-12-30,73.85
2013-12-31,74.7
2014-01-01,74.15
2014-01-02,73.6
2014-01-03,72.85
2014-01-06,72.25
2014-01-07,71.15
2014-01-08,73.9
2014-01-09,72.9
2014-01-10,71.65
2014-01-13,71.05
2014-01-14,69.9
2014-01-15,69.85
2014-01-16,70.0
2014-01-17,71.55
2014-01-20,74.15
2014-01-21,72.8
2014-01-22,71.4
2014-01-23,74.35
2014-01-24,75.0
2014-01-27,71.35
2014-01-28,73.85
2014-01-29,73.8
2014-01-30,72.5
2014-01-31,73.55
2014-02-03,74.45
2014-02-04,73.9
2014-02-05,74.95
2014-02-06,74.35
2014-02-07,75.75
2014-02-10,77.7
2014-02-11,77.55
2014-02-12,77.75
2014-02-13,75.55
2014-02-14,78.3
2014-02-17,75.95
2014-02-18,76.9
2014-02-19,79.05
2014-02-20,77.95
2014-02-21,77.0
2014-02-24,85.65
2014-02-25,83.8
2014-02-26,91.1
2014-02-28,86.8
2014-03-03,96.1
2014-03-04,97.7
2014-03-05,95.0
2014-03-06,95.8
2014-03-07,92.6
2014-03-10,92.35
2014-03-11,90.7
2014-03-12,89.6
2014-03-13,88.75
2014-03-14,88.55
2014-03-18,90.45
2014-03-19,91.15
2014-03-20,90.1
2014-03-21,92.85
2014-03-22,93.05
2014-03-24,92.7
2014-03-25,92.45
2014-03-26,91.2
2014-03-27,90.35
2014-03-28,89.35
2014-03-31,89.4
2014-04-01,92.55
2014-04-02,95.1
2014-04-03,92.5
2014-04-04,94.15
2014-04-07,94.0
2014-04-09,92.65
2014-04-10,93.7
2014-04-11,96.15
2014-04-15,101.75
2014-04-16,106.1
2014-04-17,103.55
2014-04-21,110.3
2014-04-22,107.25
2014-04-23,104.5
2014-04-25,101.7
2014-04-28,101.45
2014-04-29,100.95
2014-04-30,99.5
2014-05-02,100.25
2014-05-05,98.5
2014-05-06,98.3
2014-05-07,98.0
2014-05-08,96.65
2014-05-09,98.3
2014-05-12,96.6
2014-05-13,96.45
2014-05-14,99.45
2014-05-15,99.45
2014-05-16,98.6
2014-05-19,102.15
2014-05-20,108.2
2014-05-21,107.8
2014-05-22,106.25
2014-05-23,106.65
2014-05-26,106.7
2014-05-27,107.8
2014-05-28,108.0
2014-05-29,108.15
2014-05-30,114.3
2014-06-02,116.1
2014-06-03,118.5
2014-06-04,118.05
2014-06-05,120.4
2014-06-06,127.55
2014-06-09,134.3
2014-06-10,139.7
2014-06-11,134.6
2014-06-12,134.1
2014-06-13,132.1
2014-06-16,138.1
2014-06-17,139.35
2014-06-18,138.7
2014-06-19,139.95
2014-06-20,137.7
2014-06-23,134.8
2014-06-24,133.65
2014-06-25,133.6
2014-06-26,130.75
2014-06-27,133.0
2014-06-30,134.6
2014-07-01,134.3
2014-07-02,137.05
2014-07-03,135.5
2014-07-04,133.7
2014-07-07,135.05
2014-07-08,137.4
2014-07-09,147.75
2014-07-10,144.4
2014-07-11,141.4
2014-07-14,144.95
2014-07-15,145.05
2014-07-16,145.65
2014-07-17,156.2
2014-07-18,162.3
2014-07-21,170.7
2014-07-22,166.0
2014-07-23,160.8
2014-07-24,161.5
2014-07-25,156.7
2014-07-28,166.6
2014-07-30,165.45
2014-07-31,163.1
2014-08-01,164.15
2014-08-04,166.9
2014-08-05,169.5
2014-08-06,172.1
2014-08-07,173.2
2014-08-08,165.7
2014-08-11,163.3
2014-08-12,160.5
2014-08-13,157.1
2014-08-14,159.2
2014-08-18,160.8
2014-08-19,160.6
2014-08-20,164.0
2014-08-21,161.7
2014-08-22,161.45
2014-08-25,159.2
2014-08-26,159.95
2014-08-27,161.7
2014-08-28,164.65
2014-09-01,170.3
2014-09-02,178.5
2014-09-03,177.3
2014-09-04,173.5
2014-09-05,172.45
2014-09-08,175.1
2014-09-09,184.45
2014-09-10,183.55
2014-09-11,184.6
2014-09-12,188.7
2014-09-15,183.0
2014-09-16,186.25
2014-09-17,190.25
2014-09-18,199.8
2014-09-19,207.25
2014-09-22,206.25
2014-09-23,196.75
2014-09-24,191.0
2014-09-25,190.45
2014-09-26,188.8
2014-09-29,194.5
2014-09-30,192.0
2014-10-01,188.0
2014-10-07,189.35
2014-10-08,187.65
2014-10-09,189.6
2014-10-10,186.7
2014-10-13,183.5
2014-10-14,184.65
2014-10-16,181.8
2014-10-17,178.25
2014-10-20,175.3
2014-10-21,173.65
2014-10-22,180.1
2014-10-23,183.5
2014-10-27,181.25
2014-10-28,183.2
2014-10-29,179.4
2014-10-30,177.95
2014-10-31,176.75
2014-11-03,179.05
2014-11-05,185.3
2014-11-07,194.3
2014-11-10,185.5
2014-11-11,184.05
2014-11-12,184.2
2014-11-13,183.2
2014-11-14,179.6
2014-11-17,184.45
2014-11-18,179.5
2014-11-19,175.85
2014-11-20,174.55
