Date,GOODLUCK
20150108,2.3867682314696306
20150109,-0.6683193339909046
20150112,-0.26894303094240635
20150113,2.2690796085320035
20150114,1.0598713040801286
20150115,1.4149546078649025
20150116,1.4831629291441173
20150119,-8.454463936812807
20150120,-1.9953026674526133
20150121,-0.4856657265976493
20150122,1.3446243191887761
20150123,1.3002524480477569
20150127,2.097009181507625
20150128,1.5964631979684403
20150129,-0.34631640858763346
20150130,1.0172523022819442
20150202,-2.4767429493496755
20150203,0.20989953014623491
20150204,-1.9991493156414128
20150205,-0.49297474579350187
20150206,1.0116305959600644
20150209,-1.5231899494193781
20150210,-1.221177527012364
20150211,2.108752715607063
20150212,0.9461032185289643
20150213,-0.1663840672034272
20150216,0.10203032012316265
20150218,2.5734477076849744
20150219,0.8809828312687864
20150220,-1.06503828267557
20150223,-5.104551892640177
20150224,2.101524693450695
20150225,-9.150592257475614
20150226,-0.4683562098314904
20150227,-0.6238822398886925
20150228,1.747337160838075
20150302,2.2849979665740014
20150303,1.7704165077010572
20150304,-0.28364094114358684
20150305,-2.73876445726513
20150309,-2.0785417010536156
20150310,1.7536687815555891
20150311,0.7427725426125844
20150312,-0.026866314286036586
20150313,-0.5985274690055487
20150316,0.8307070394349925
20150317,-2.513806225959371
20150318,1.1986777357851297
20150319,-0.3464344299390864
20150320,1.436321561580689
20150323,4.233550149094377
20150324,-8.756625122577013
20150325,0.7413829950835327
20150326,-1.7238329683941636
20150327,-0.3417778114208855
20150330,1.6127549648350996
20150331,-1.7588058775085027
20150401,0.750960633367215
20150406,1.0818973168035158
20150407,1.4857713524721348
20150408,0.21288188855609746
20150409,0.482270637771928
20150410,-3.7796452954074216
20150413,-0.3036464634854603
20150415,-0.29665306180112494
20150416,-1.3177205297171568
20150417,-0.3481139939944664
20150420,-0.03552785995031682
20150421,1.4322653542724655
20150422,-2.270017573622026
20150423,-4.204721838859811
20150424,-0.3865864733180504
20150427,0.20369003848995693
20150428,-3.3760974803510164
20150429,1.2121807794447088
20150430,0.3571650573292899
20150504,1.6131389936113918
20150505,-7.104291711457884
20150506,-4.032334851651092
20150507,-5.971137639230697
20150508,-1.473746722958642
20150511,0.6615628430825212
20150512,1.056773830404012
20150513,-0.5178652454638502
20150514,1.549957323302391
20150515,-1.424820190843284
20150518,1.4247818158792482
20150519,0.8324338770919333
20150520,1.2047484174509002
20150521,0.8622975919989935
20150522,-0.21346457269501157
20150525,0.6508672842464558
20150526,3.020215586159678
20150527,1.6347223620795637
20150528,-1.164915292562853
20150529,-0.8761428732072745
20150601,1.5862683946722655
20150602,-1.021095323556926
20150603,0.5395121680668047
20150604,1.6247149449789262
20150605,0.023368153994127283
20150608,3.426515239214325
20150609,0.9555719260224222
20150610,-10.628950182953965
20150611,2.2814498167914636
20150612,0.09842713173097206
20150615,-0.12955270976704525
20150616,1.6345429461983572
20150617,-3.205425635643648
20150618,1.500495601815165
20150619,1.9942708166736158
20150622,1.502727569671886
20150623,1.5038793699906177
20150624,0.3526781676284359
20150625,0.44537853299160046
20150626,0.3359656151481419
20150629,1.1831950115396703
20150630,-0.6569762190135815
20150701,0.9310804298416804
20150702,-1.6021797545744596
20150703,0.8136648651599737
20150706,0.23109006476091531
20150707,0.767776867278783
20150708,1.1356458436253358
20150709,-3.1939108415483832
20150710,-10.149195443218103
20150713,-8.838367882370626
20150714,1.9562930662698663
20150715,0.249531700632024
20150716,-1.5093510053356294
20150717,7.2650582281159615
20150720,4.510593420611815
20150721,4.587633965984202
20150722,-1.427831125448954
20150723,-0.10488310557167879
20150724,-0.30772610908033926
20150727,0.5499034587426006
20150728,-1.1855033848514656
20150729,-0.813880141563682
20150730,0.7805856062003267
20150731,1.8017466128349038
20150803,0.09203019948678681
20150804,-9.336923098732315
20150805,-0.0007348467533554448
20150806,-2.7467288918189543
20150807,-0.03967731555546444
20150810,1.7917012071739913
20150811,1.8273693787622247
20150812,0.7430764916143819
20150813,-1.25734930344809
20150814,1.3655351851570285
20150817,-1.1398303186625156
20150818,0.6614423465031525
20150819,0.9342670585432484
20150820,0.23671567481085454
20150821,0.7093588378742199
20150824,2.500392505339885
20150825,-5.651043937565657
20150826,0.40820334238000355
20150827,0.8658072477417673
20150828,1.118326719376057
20150831,-1.6213028739720703
20150901,-0.7275756928802002
20150902,3.3994992300050786
20150903,0.564692132515465
20150904,0.37620364183091715
20150907,2.2936825239035783
20150908,-1.305845064504106
20150909,0.005607542843494517
20150910,1.741600873177285
20150911,-1.760874057555959
20150914,1.657126040306076
20150915,-0.5454397630396088
20150916,0.8070925797736561
20150918,0.4599042251988734
20150921,-0.4231426461059622
20150922,-0.9949313889321213
20150923,1.7536476543837105
20150924,0.40916957901098594
20150928,-0.16092094640945698
20150929,-0.8777532705013532
20150930,-1.0549984537426318
20151001,-1.0241202090900499
20151005,1.5639591942794149
20151006,1.1309233549618711
20151007,1.4590978978999423
20151008,0.8636924583043385
20151009,1.587796669316731
20151012,-0.9351196602892761
20151013,-0.28868803227999007
20151014,-0.8913285200427519
20151015,1.7814682452328883
20151016,-1.255711152571135
20151019,-5.952248014013074
20151020,0.10159516009044864
20151021,-1.3229576586957206
20151023,-2.5112052608431026
20151026,1.8922496039384114
20151027,-0.8155841276586164
20151028,-2.199327099330173
20151029,1.463735811751091
20151030,1.638203943679926
20151102,0.9978760243706992
20151103,0.004316313125371285
20151104,-0.18381295045337467
20151105,1.6097053539739348
20151106,1.710224915614627
20151109,-3.0382645730992204
20151110,2.4169302015240035
20151111,-0.8134590178963137
20151113,0.572838116934308
