Date,Return
20170103,-2.7270307927027093
20170104,-0.02432809
20170105,-0.9012197724561372
20170106,0.8455384273913013
20170109,2.607552157368427
20170110,-4.528531294504504
20170111,-1.7481647210344922
20170112,2.518044791355938
20170113,0.8452371273913012
20170116,3.4844438398245647
20170117,-2.7516008172727338
20170118,1.7455834144247881
20170119,-1.8261298918018116
20170120,2.6305391666371745
20170123,-0.02432809
20170124,0.8847628190909059
20170125,-0.02432809
20170127,-0.9416086626605472
20170130,-1.8423592881818118
20170131,0.8686796728571397
20170201,-3.6277810736036074
20170202,2.584668862173919
20170203,-0.02402679
20170206,-0.9168839328571556
20170207,1.7458847144247882
20170208,-2.7267294927027095
20170209,0.8534677224561372
20170210,-2.6785925166371585
20170213,5.148688533103446
20170214,-0.02372526
20170215,3.61263837636364
20170216,2.806161889245273
20170217,3.859468355631071
20170220,-0.02402679
20170221,-0.02402679
20170222,-0.02402679
20170223,0.9862249601010066
20170227,3.037348439795925
20170228,-4.234402365789478
20170301,-2.0440780702020134
20170302,2.9467226197029595
20170303,0.9968337532653205
20170306,-1.054502245051561
20170307,2.017241916530623
20170308,-4.190241076666671
20170309,1.9769162499999926
20170310,-0.02308375
20170314,-0.02308375
20170315,-1.0434919132653024
20170316,-0.02308375
20170317,-0.02308375
20170320,0.9870172601010067
20170321,-0.02308375
20170322,0.9973244132653206
20170323,-0.02278151
20170324,-12.393915530618568
20170327,-2.7750750879816417
20170328,0.8700756328571397
20170329,4.481722994504505
20170330,-0.966026526415091
20170331,2.7811080177569996
20170403,-0.0226303
20170405,-0.0226303
20170406,-0.9843199715384581
20170407,1.881980394761898
20170410,0.9480922764077808
20170411,-2.963957980588243
20170412,-0.02278151
20170413,-0.02323478
20170417,0.929146172380949
20170418,0.9383036815384581
20170419,-0.02323478
20170420,-0.9945990464077634
20170421,-0.02372526
20170424,0.9378132015384582
20170425,0.9471485264077808
20170426,2.9174512105882253
20170427,0.9860742201010066
20170428,-0.02402679
20170502,0.9963813732653206
20170503,-1.0549546250515611
20170504,-15.33029991897959
20170505,1.7457340344247883
20170508,5.381227935405403
20170509,-1.928939374761898
20170510,0.9104019692523332
20170511,-0.02432809
20170512,2.805860589245273
20170515,-0.02432809
20170516,0.9465456964077807
20170517,-0.02432809
20170518,-0.02432809
20170519,1.9364562237254832
20170522,-3.024328090000007
20170523,3.859167055631071
20170524,-9.115237180909093
20170525,3.679375613703707
20170526,-2.9089434746153744
20170529,-1.893486968504683
20170530,0.8931031026605472
20170531,3.679375613703707
20170601,-0.02447866
20170602,2.860136724615391
20170605,-0.02447866
20170606,-0.02447866
20170607,-7.945270739207928
20170608,2.727965487981658
20170609,0.919068136415091
20170612,-4.786232851904762
20170613,-0.02432809
20170614,2.7029446372727337
20170615,1.8448307885046664
20170616,0.928052862380949
20170619,-0.02432809
20170620,2.860287294615391
20170621,-2.9946251197029774
20170622,-0.02432809
20170623,1.8987488330769333
20170627,0.9560640668627416
20170628,-1.0144270999009866
20170629,1.9364562237254832
20170630,-2.0243280899999925
20170703,0.9560640668627416
20170704,-2.004526109801991
20170705,-0.02432809
20170706,0.9463951264077808
20170707,0.9559134968627416
20170710,-1.0145776699009867
20170711,0.9559134968627416
20170712,-2.004676679801991
20170713,-1.9659250428155268
20170714,-0.02417747
20170717,0.928203482380949
20170718,-0.02417747
20170719,-2.9087928546153745
20170720,-6.565781334766365
20170721,2.607853687368427
20170724,-0.02372526
20170725,-0.02372526
20170726,1.7780765418017956
20170727,2.728417527981658
20170728,-4.740857182075472
20170731,-17.140993167117117
20170801,2.2838162576923127
20170802,7.850139698031496
20170803,1.6855256594017034
20170804,-0.02387605
20170807,-3.5021369195652206
20170808,4.177804622268907
20170809,1.73050991491229
20170810,7.118981092857134
20170811,0.9376624115384581
20170814,-2.9364974092232905
20170816,-2.8540647292452896
20170817,-0.9413072426605472
20170818,1.794305768181812
20170821,-0.9498019759259226
20170822,-2.7761696279816417
20170823,0.8689810928571396
20170824,0.8771756409008978
20170828,1.794456558181812
20170829,0.9022006659259391
20170830,-0.02372526
20170831,-0.9583046992523497
20170901,-2.8015030377777674
20170904,0.8771756409008978
20170905,0.885365649090906
20170906,1.8111371253211108
20170907,-0.02357441
20170908,-0.02357441
20170911,-0.02357441
20170912,-0.02357441
20170913,-1.8927332885046828
20170914,0.8937059326605472
20170915,0.9022006659259391
20170918,-0.9583046992523497
20170919,-2.8015030377777674
20170920,1.7780765418017956
20170921,0.8937059326605472
20170922,1.8281265918518614
20170925,0.919670966415091
20170926,-0.976106212380949
20170927,0.919670966415091
20170928,-0.02372526
20170929,-1.928487164761898
20171003,-0.9583046992523497
20171004,1.8281265918518614
20171005,-0.02357441
20171006,-11.344329126981142
20171009,-19.5150998337288
20171010,-19.881730438368784
20171011,9.443881211301763
20171012,8.473157616143796
20171013,-10.023574410000002
20171016,-9.76383415025973
20171017,-9.491030031301785
20171018,-8.13183336810811
20171019,-2.52372526
20171023,-0.9993350160975575
20171024,2.3917336771980677
20171025,3.936670779603964
20171026,-4.66290051773197
20171027,-4.949833634384236
20171030,-4.718560940751173
20171031,-4.956460686008959
20171101,-0.878426114700867
20171102,2.9423764349152663
20171103,4.779768189781651
20171106,4.5634307033027515
20171107,4.7839670476923075
20171108,4.521729285454556
20171109,-4.785630021904773
20171110,-4.569179805454538
20171113,-4.371551346956532
