"Date","SMB %","HML %","WML %","Rm %","Rf %","Rm-Rf %"
20130101,-0.11629677,0.8555383,0.05465917,0.90683045,0.03149246,0.87533799
20130102,-0.0353273,0.09680778,0.21057849,0.66479573,0.03149246,0.63330327
20130103,-0.62029771,1.46415296,-0.2814524,0.47185751,0.03115947,0.44069804
20130104,-0.30660203,0.83234422,-0.02069007,0.32510801,0.03115947,0.29394854
20130107,0.70742541,0.21394374,-0.8769435,-0.05912212,0.03115947,-0.09028159
20130108,-0.43264306,0.53916636,0.50319197,0.07267066,0.03115947,0.04151119
20130109,0.38875736,0.01892257,0.25577372,-0.32350359,0.03115947,-0.35466306
20130110,-0.15442982,-0.80447846,0.31593176,-0.18925064,0.03101138,-0.22026202
20130111,0.36684834,-1.54080816,-3.75720247,-0.85987608,0.03101138,-0.89088746
20130114,-1.35916753,1.34059874,-0.91344995,1.18355237,0.03101138,1.15254099
20130115,-0.76160812,0.78538181,0.73248067,0.33329196,0.03101138,0.30228058
20130116,0.55037472,-1.61751701,-0.07249691,-0.95358492,0.03101138,-0.9845963
20130117,-1.25383558,0.04098955,-0.03397791,0.736144,0.03071505,0.70542895
20130118,-0.97574243,-0.16584513,0.25265262,0.35776062,0.03071505,0.32704557
20130121,-1.30695194,1.40476446,0.07468321,0.21361634,0.03071505,0.18290129
20130122,0.30610003,-1.14876869,0.10492829,-0.70831677,0.03071505,-0.73903182
20130123,0.02390519,-1.41205593,0.29622464,-0.38601796,0.03071505,-0.41673301
20130124,1.36487262,-4.28908571,0.21029705,-1.23543001,0.03071505,-1.26614506
20130125,-1.67206881,2.50088899,0.33840826,1.11952625,0.03071505,1.0888112
20130128,0.935339,-0.24154678,0.45558864,0.00044247,0.03071505,-0.03027258
20130129,1.08054675,-1.82339325,0.30506196,-0.5618157,0.03071505,-0.59253075
20130130,-0.61947624,-0.00796967,0.405142,0.0985566,0.03071505,0.06784155
20130131,-0.38441407,0.33486168,0.26481161,0.24796617,0.0305668,0.21739937
20130201,-0.27528949,0.78039103,-0.0688238,-0.33949501,0.0305668,-0.37006181
20130204,0.56226296,-1.14560576,0.91681366,-0.61556881,0.0305668,-0.64613561
20130205,-0.22756668,-0.3629604,0.57719208,-0.47591584,0.0305668,-0.50648264
20130206,0.05012254,0.42616932,-0.51166323,0.02153081,0.0305668,-0.00903599
20130207,0.40481679,-1.62761461,0.79413351,-0.66033927,0.03071505,-0.69105432
20130208,0.03955983,-0.37449924,0.98804777,-0.72306515,0.03071505,-0.7537802
20130211,-0.39159406,-0.16133402,-2.98166399,0.00333086,0.03071505,-0.02738419
20130212,-0.17312308,-1.68087239,0.41665324,0.31418885,0.03071505,0.2834738
20130213,0.83824358,-1.78410929,1.10035525,-0.2060491,0.03071505,-0.23676415
20130214,0.30082663,-1.53635281,1.73934259,-0.94259666,0.03071505,-0.97331171
20130215,-1.47286255,0.9265597,0.78560745,-0.07302485,0.03071505,-0.1037399
20130218,0.16327526,0.88101996,-2.01343255,0.32086108,0.03071505,0.29014603
20130219,-0.25184567,0.57639967,0.03008865,0.93659174,0.03071505,0.90587669
20130220,0.31735145,-0.16666267,0.42875315,0.08681674,0.03071505,0.05610169
20130221,0.30110648,-0.70932199,0.80847283,-1.62922723,0.03086325,-1.66009048
20130222,-0.258538,0.43818474,0.22710769,0.09119301,0.03086325,0.06032976
20130225,-0.54168725,-0.5713381,1.42600932,-0.49626791,0.03086325,-0.52713116
20130226,-0.29984438,-0.50919862,0.73966349,-1.60531816,0.03086325,-1.63618141
20130227,-0.89835415,0.08386968,0.76259685,0.6933686,0.03086325,0.66250535
20130228,2.18234181,-3.37014301,2.33606248,-1.8290404,0.03115947,-1.86019987
20130301,-0.32602242,-0.38550815,0.8812972,0.2109463,0.03115947,0.17978683
20130304,-0.97324774,-0.68748834,1.26495436,-0.92395398,0.03115947,-0.95511345
20130305,-1.08216665,1.09661603,0.74016653,1.47387373,0.03115947,1.44271426
20130306,0.34056205,1.25969546,-0.34405459,0.7345805,0.03115947,0.70342103
20130307,0.42304863,-0.23635426,-0.04160186,0.51651591,0.03115947,0.48535644
20130308,-0.26049945,0.09774201,-0.1905278,1.10418901,0.03115947,1.07302954
20130311,0.30066638,0.36125564,-0.16635898,-0.06406551,0.03115947,-0.09522498
20130312,0.4144923,-0.86308527,-0.18253894,-0.42696708,0.03115947,-0.45812655
20130313,-0.29631978,0.49094041,0.49823858,-1.03573261,0.03115947,-1.06689208
20130314,-1.55488815,1.29187035,0.40918884,0.7394095,0.03115947,0.70825003
20130315,0.38347946,-1.07248763,0.43891787,-0.51600751,0.03115947,-0.54716698
20130318,0.3030133,-0.63224628,0.60138152,-0.69598207,0.03115947,-0.72714154
20130319,0.9006303,-1.51610511,1.48752003,-1.60009539,0.03115947,-1.63125486
20130320,0.8409988,-3.34696081,2.10362551,-1.32496742,0.03115947,-1.35612689
20130321,0.24002175,-1.22484365,1.22683236,-0.86510938,0.03086325,-0.89597263
20130322,-0.36908588,-0.75400128,0.64562167,-0.38893767,0.03086325,-0.41980092
20130325,-0.04004191,-1.10452938,0.6867939,-0.21411496,0.03086325,-0.24497821
20130326,0.52945287,-0.66696459,0.70568995,-0.01293847,0.03086325,-0.04380172
20130328,-0.73584593,2.24923053,0.13715015,1.10034083,0.03149246,1.06884837
20130401,0.82830867,2.42115391,-1.99840596,0.60502951,0.03149246,0.57353705
20130402,-0.94490814,3.11368468,-1.66716714,1.2433255,0.03149246,1.21183304
20130403,0.01985276,0.7652618,-0.39562502,-1.02400418,0.03149246,-1.05549664
20130404,0.54274031,-1.36185031,0.47464754,-1.52656024,0.03023304,-1.55679328
20130405,-0.00799647,0.23647955,-0.10527645,-0.05886653,0.03023304,-0.08909957
20130408,-0.7203033,0.8195963,0.12470177,-0.07995041,0.03023304,-0.11018345
20130409,0.29035831,-0.27440503,0.56343544,-1.09820901,0.03023304,-1.12844205
20130410,-2.69914117,2.98358299,-0.11313161,0.79211989,0.03023304,0.76188685
20130411,-0.24591095,0.48513614,0.46481213,0.27827077,0.03023304,0.24803773
20130412,-1.05235003,1.22750046,-0.06645071,-0.45233636,0.03008462,-0.48242098
20130415,-0.32311005,0.59110184,0.06245851,0.33937667,0.03008462,0.30929205
20130416,-2.0847208,1.38245975,-0.53202353,1.50978928,0.03008462,1.47970466
20130417,0.71530936,-0.66115641,0.21264843,0.0636825,0.03008462,0.03359788
20130418,-1.10820664,1.03284893,-0.22938309,1.08362262,0.0297876,1.05383502
20130422,-3.2889103,4.73379439,-1.33195682,0.90099619,0.0297876,0.87120859
20130423,0.59747679,-0.64977174,0.29608103,-0.02438501,0.0297876,-0.05417261
20130425,-0.87809692,-0.14837797,0.66362628,0.88436377,0.02945319,0.85491058
20130426,0.85244893,-1.51313287,1.23906363,-0.6926769,0.02945319,-0.72213009
20130429,-1.8252755,2.19983812,-0.3088356,0.6456893,0.02945319,0.61623611
20130430,0.81867419,-1.66963943,0.69630324,0.54498713,0.02945319,0.51553394
20130502,-2.11368419,1.89462629,0.13537484,0.96948401,0.02915571,0.9403283
20130503,-1.09414936,1.42460348,-0.00198934,-0.58789525,0.02915571,-0.61705096
20130506,-0.27374346,0.73027048,-0.43699412,0.55142649,0.02915571,0.52227078
20130507,0.05312621,-0.33157346,-0.63612586,0.82541074,0.02915571,0.79625503
20130508,0.4717918,-0.21198231,0.36961753,0.19449529,0.02915571,0.16533958
20130509,0.568539,-0.85035938,-0.12586814,-0.21770402,0.028858,-0.24656202
20130510,-0.4442937,-0.50822451,-0.08893047,0.48541729,0.028858,0.45655929
20130511,0.06703307,-0.04008689,-0.77890722,0.37909318,0.028858,0.35023518
20130513,1.40373665,-1.07947059,0.70769584,-1.78487803,0.028858,-1.81373603
20130514,-1.27702016,1.33364926,0.6642188,0.2990847,0.028858,0.2702267
20130515,-1.15139414,0.88790286,0.35421173,1.92400752,0.028858,1.89514952
20130516,-0.33868647,-0.12764366,-0.14954156,0.3698295,0.02822464,0.34160486
20130517,0.01630481,-0.24007122,-0.99879682,0.3135436,0.02822464,0.28531896
20130520,0.4319093,-0.19442149,-0.36607994,-0.40660803,0.02822464,-0.43483267
20130521,0.34819041,-0.9459908,0.33420097,-0.65610939,0.02822464,-0.68433403
20130522,0.2148494,-0.97777981,1.67460727,-0.42644285,0.02822464,-0.45466749
20130523,0.84963022,-1.03171358,2.26744365,-2.01776611,0.02807547,-2.04584158
20130524,-0.55615126,0.83319399,-0.42076808,0.24918647,0.02807547,0.221111
20130527,-1.55519535,1.32569314,0.27391886,1.3604465,0.02807547,1.33237103
20130528,-0.03009298,-0.97310604,-0.2315331,0.60954866,0.02807547,0.58147319
20130529,0.83621839,-1.25317055,1.34626168,-0.23382503,0.02807547,-0.2619005
20130530,0.17240387,-1.00281148,0.64795238,0.17767883,0.02822464,0.14945419
20130531,0.73614541,-0.73561311,2.14742063,-1.64249133,0.02822464,-1.67071597
20130603,-0.55318906,1.26753747,0.20921809,-0.48914682,0.02822464,-0.51737146
20130604,0.49372036,0.14005995,0.40765157,-0.03346176,0.02822464,-0.0616864
20130605,-1.20423347,1.87117878,-0.16510983,0.15700172,0.02822464,0.12877708
20130606,-0.0278477,0.67143695,0.76133636,-0.06634995,0.02837376,-0.09472371
20130607,0.53662194,-0.1861103,0.78139147,-0.61632176,0.02837376,-0.64469552
20130610,0.60547338,-2.06728837,1.63581328,-0.44331303,0.02837376,-0.47168679
20130611,0.83081002,-1.88930027,2.3752197,-1.64126845,0.02837376,-1.66964221
20130612,-0.64636176,1.12036039,-0.30485666,-0.59097501,0.02837376,-0.61934877
20130613,0.27056421,-0.31305723,1.35696289,-1.22510645,0.028858,-1.25396445
20130614,-0.84114892,0.28833725,1.29844877,1.43847716,0.028858,1.40961916
20130617,-1.02049081,0.78326497,0.97357215,0.57515147,0.028858,0.54629347
20130618,-2.00358258,3.88129049,0.01519388,-0.25715738,0.028858,-0.28601538
20130619,-0.36983447,1.28410852,-0.25944235,0.18977011,0.028858,0.16091211
20130620,1.06542994,-0.27256701,1.39919975,-2.38762005,0.02870907,-2.41632912
20130621,0.92183535,-1.26015288,2.07998204,-0.14842589,0.02870907,-0.17713496
20130624,0.90858414,-1.60534122,0.2782854,-1.87201955,0.02870907,-1.90072862
20130625,-0.73831627,0.2976503,1.61901773,-0.0370014,0.02870907,-0.06571047
20130626,0.19542064,-0.75794636,1.2037707,-0.30487341,0.02870907,-0.33358248
20130627,-0.9926938,-0.76502409,1.54420773,1.33697643,0.028858,1.30811843
20130628,-0.89355613,-0.20067194,-0.4162593,2.43311813,0.028858,2.40426013
20130701,-2.85553615,4.94222562,-1.66598599,1.43541524,0.028858,1.40655724
20130702,0.77616013,-0.29296639,0.81391269,-0.42579599,0.028858,-0.45465399
20130703,0.67700771,-0.0296679,1.43565621,-1.70766145,0.028858,-1.73651945
20130704,-0.83259882,0.20459867,0.40170167,0.86992495,0.02900688,0.84091807
20130705,-0.43908636,0.20528017,-0.23249474,0.3209023,0.02900688,0.29189542
20130708,-1.13102702,2.65425903,-0.22512652,-0.65498109,0.02900688,-0.68398797
20130709,0.37722006,-0.65161148,-0.00531586,0.6526753,0.02900688,0.62366842
20130710,1.36742582,-0.25531033,-0.28294957,-0.47006216,0.02900688,-0.49906904
20130711,-1.0214224,0.15784505,0.01135371,1.4713481,0.028858,1.4424901
20130712,-0.68420032,-0.15651796,0.61061743,0.70571035,0.028858,0.67685235
20130715,-0.64217909,0.90696605,-0.22658907,0.73205033,0.028858,0.70319233
20130716,0.5219609,-0.43902785,0.93488438,-0.82405252,0.028858,-0.85291052
20130717,0.35279085,-0.92128373,1.46951787,0.05476187,0.028858,0.02590387
20130718,-1.12523884,0.95469915,0.09581503,0.92523546,0.028858,0.89637746
20130719,0.24912664,-0.70064915,0.05980009,-0.03602806,0.028858,-0.06488606
20130722,0.72231907,-0.87364957,0.10098321,-0.16726915,0.028858,-0.19612715
20130723,0.17236329,-0.83512482,0.08923104,0.48144073,0.028858,0.45258273
20130724,-0.23559016,-0.00085991,0.89333431,-1.17766648,0.028858,-1.20652448
20130725,0.40437927,0.05693105,0.81381523,-1.13211522,0.04175272,-1.17386794
20130726,0.40460471,-1.01742343,0.35643728,-0.70026657,0.04175272,-0.74201929
20130729,1.05063124,-1.02257244,1.19160277,-1.01574625,0.04175272,-1.05749897
20130730,1.10611032,-1.1683775,1.56724212,-1.70308154,0.04175272,-1.74483426
20130731,-3.74914118,3.30422137,0.65448107,0.11084483,0.04175272,0.06909211
20130801,1.70436098,-2.55815289,0.84753508,-0.97735534,0.04268896,-1.0200443
20130802,0.85165562,-2.12531267,1.40672319,-1.04861574,0.04268896,-1.0913047
20130805,0.0760617,-0.81810191,-1.06498181,0.30629725,0.04268896,0.26360829
20130806,-0.04090912,0.27428486,0.78800292,-2.22740426,0.04268896,-2.27009322
20130807,-0.88276649,1.53383671,-3.08129726,0.35771286,0.04268896,0.3150239
20130808,0.9191381,-0.29474961,-2.78316077,0.94037991,0.04146421,0.8989157
20130812,0.48500435,0.46842558,-2.38295688,1.09829679,0.04146421,1.05683258
20130813,-0.83909065,1.43294096,-0.32639415,1.26892877,0.04146421,1.22746456
20130814,-0.64296744,0.34272058,-0.83081788,0.88844322,0.04146421,0.84697901
20130816,3.42882826,-3.36200182,1.43979983,-3.53679266,0.04329993,-3.58009259
20130819,-0.39444698,1.25570995,-0.83445773,-1.55593649,0.04329993,-1.59923642
20130820,-0.31816076,1.28384304,-2.44544082,-0.18002571,0.04329993,-0.22332564
20130821,2.14161786,-1.92927617,1.52744884,-1.83378237,0.04329993,-1.8770823
20130822,-2.78996901,1.27301322,-2.45304489,2.03459313,0.04193294,1.99266019
20130823,0.58873176,-1.75459815,-0.3545264,0.93442296,0.04193294,0.89249002
20130826,0.00326319,0.21984303,-0.93174667,0.36500265,0.04193294,0.32306971
20130827,1.56923363,-0.12251404,1.01474766,-2.78963845,0.04193294,-2.83157139
20130828,-0.41477321,-0.42029864,-1.88727439,-0.34595257,0.04193294,-0.38788551
20130829,-2.71574119,1.83929073,0.14584276,1.87203144,0.0454132,1.82661824
20130830,-0.75779682,0.51556275,1.83256959,0.95089417,0.0454132,0.90548097
20130902,-1.989487,2.10456563,-1.41999865,1.35961013,0.0454132,1.31419693
20130903,2.32189078,-0.49411986,0.71586016,-2.64690853,0.0454132,-2.69232173
20130904,-1.64536676,0.60346552,-0.86962048,1.66884475,0.0454132,1.62343155
20130905,-1.5731737,0.68691377,-0.17076297,1.90076725,0.04268896,1.85807829
20130906,-0.91076578,0.49254582,-0.8696257,1.25616238,0.04268896,1.21347342
20130910,-1.15680949,-0.67657364,0.00468231,2.73325398,0.04268896,2.69056502
20130911,-0.55310048,0.50264025,-2.32163866,0.71367004,0.04268896,0.67098108
20130912,1.43865215,-0.33167932,0.0938259,-0.98377022,0.04052511,-1.02429533
20130913,-0.39095861,1.5924488,-0.88109983,0.30956706,0.04052511,0.26904195
20130916,0.68851298,-0.85995631,2.04174414,-0.37376043,0.04052511,-0.41428554
20130917,0.16259187,-0.24837324,0.52786837,0.15172234,0.04052511,0.11119723
20130918,-0.45299298,0.07841724,0.82357545,0.64583847,0.04052511,0.60531336
20130919,-4.25708242,3.54774769,-0.95529896,2.85545277,0.039765,2.81568777
20130920,0.94634666,-1.40088132,0.72771032,-1.09096915,0.039765,-1.13073415
20130923,1.06070913,0.01154177,0.03163313,-1.36819771,0.039765,-1.40796271
20130924,0.23855962,-0.31397437,0.12309778,-0.11933786,0.039765,-0.15910286
20130925,-0.83475222,1.34081668,-0.01591215,0.029448,0.039765,-0.010317
20130926,1.31233669,-1.34028357,-0.80817186,0.08241582,0.03700205,0.04541377
20130927,0.78687393,-0.62296004,0.64923978,-0.34299399,0.03700205,-0.37999604
20130930,1.49879235,-0.68750161,1.23704854,-1.25052944,0.03700205,-1.28753149
20131001,0.0784425,0.04781587,-0.91833709,0.39149759,0.03700205,0.35449554
20131003,-1.39451824,0.00672385,-0.92568164,1.86085739,0.03656405,1.82429334
20131004,0.11163027,-0.43534873,0.68180934,0.19602485,0.03656405,0.1594608
20131007,0.17031956,0.22022527,-0.21670385,0.15405028,0.03656405,0.11748623
20131008,0.50699229,0.57443517,-0.44447638,0.20545849,0.03656405,0.16889444
20131009,-0.16090156,0.50055512,-0.59159939,1.08999428,0.03656405,1.05343023
20131010,0.46661756,0.39168977,-0.55305807,0.29480861,0.03396275,0.26084586
20131011,0.24829043,0.27020133,0.03083471,0.49452591,0.03396275,0.46056316
20131014,0.34960456,0.28682799,0.49577318,0.4563556,0.03396275,0.42239285
20131015,-0.3892474,-0.97148607,0.78098334,-0.47945166,0.03396275,-0.51341441
20131017,0.7404191,0.46321045,-0.12675259,-0.48112642,0.03410975,-0.51523617
20131018,-1.44546063,-0.34680232,-0.48566141,1.63028181,0.03410975,1.59617206
20131021,0.23363646,0.65736911,-1.47063059,0.51505377,0.03410975,0.48094402
20131022,0.69395641,1.2165713,-0.7995955,0.35997353,0.03410975,0.32586378
20131023,0.32070621,0.47132603,-0.65383521,-0.39835489,0.03410975,-0.43246464
20131024,0.36143493,-0.42263568,-0.16129932,-0.44862873,0.0336318,-0.48226053
20131025,0.04758773,-0.59569345,1.26838781,-0.38124236,0.0336318,-0.41487416
20131028,0.60146015,-0.6733095,1.19591558,-0.72169125,0.0336318,-0.75532305
20131029,-1.47510021,-0.64469455,-0.73415764,1.49982501,0.0336318,1.46619321
20131030,0.32492389,0.18200087,0.37479544,0.44152677,0.0336318,0.40789497
20131031,-1.23134738,-0.02382458,-1.32968107,0.96757985,0.03300593,0.93457392
20131101,-0.21006381,1.68676457,-2.63287342,0.49360239,0.03300593,0.46059646
20131103,0.92551505,1.13200395,-0.82756535,0.5287711,0.03300593,0.49576517
20131105,0.97395991,2.15661982,-2.07033495,-0.56546157,0.03300593,-0.5984675
20131106,1.03317483,0.22066786,0.24065712,-0.17976086,0.03300593,-0.21276679
20131107,0.06993155,-0.49368123,1.53005252,-0.720705,0.03285853,-0.75356353
20131108,0.04691191,0.81792494,0.25269457,-0.50263183,0.03285853,-0.53549036
20131111,0.4853341,-0.60484954,1.34121083,-0.96987196,0.03285853,-1.00273049
20131112,0.34026972,-0.38348612,1.17391615,-0.92071066,0.03285853,-0.95356919
20131113,-0.20884084,-0.49117766,0.91435226,-0.40538035,0.03285853,-0.43823888
20131114,-0.49450347,-0.36266821,-1.27527122,0.91034652,0.03440359,0.87594293
20131118,-0.8118322,0.01596932,-1.44278542,1.58176763,0.03440359,1.54736404
20131119,0.23545977,0.71386057,-0.77140345,0.13417976,0.03440359,0.09977617
20131120,1.25829454,0.81256867,0.22351139,-0.72543393,0.03440359,-0.75983752
20131121,1.15563354,0.07644033,0.95884086,-1.71135919,0.0342567,-1.74561589
20131122,0.03560284,-0.46311939,0.77784479,0.01119807,0.0342567,-0.02305863
20131125,-0.52762918,0.2636441,-0.99639602,1.56897206,0.0342567,1.53471536
20131126,0.02593982,-0.99158916,1.07379937,-0.76108953,0.0342567,-0.79534623
20131127,-0.13601482,0.03846434,0.09767583,-0.02679984,0.0342567,-0.06105654
20131128,0.38627326,0.50507227,-0.43440021,0.6080321,0.0342567,0.5737754
20131129,-0.75431707,0.11138719,-1.30949059,1.19040052,0.0342567,1.15614382
20131202,0.57172299,0.94070993,-1.09347043,0.63686515,0.0342567,0.60260845
20131203,0.52661514,0.41136901,-0.35621585,-0.08395771,0.0342567,-0.11821441
20131204,0.47787481,0.46082311,0.14428362,-0.49437211,0.0342567,-0.52862881
20131205,-0.86297017,0.09749117,-0.6828047,0.74496067,0.03319011,0.71177056
20131206,-0.24305001,0.26488623,-0.57969529,0.51314066,0.03319011,0.47995055
20131209,-0.97673316,-0.22837519,0.47931478,1.09856976,0.03319011,1.06537965
20131210,-0.42988694,-1.09318334,1.45472189,-0.3376231,0.03319011,-0.37081321
20131211,0.66541366,0.00450406,0.51671234,-0.42536925,0.03319011,-0.45855936
20131212,0.64653121,0.07303411,0.44564152,-0.91312753,0.0336318,-0.94675933
20131213,0.34872853,-0.65950881,1.49733297,-1.08344181,0.0336318,-1.11707361
20131216,0.07798275,-0.55779208,0.91032024,-0.00558833,0.0336318,-0.03922013
20131217,-0.14413796,-0.3731882,0.27164736,-0.05253597,0.0336318,-0.08616777
20131218,-0.2628619,0.30954233,-0.71912213,1.25064742,0.0336318,1.21701562
20131219,0.53926694,0.39941809,0.3456251,-0.3757256,0.03319011,-0.40891571
20131220,-0.45311105,0.05633994,-0.63940716,1.5825765,0.03319011,1.54938639
20131223,0.5908409,1.6257854,-1.99087034,0.49677138,0.03319011,0.46358127
20131224,1.04753382,0.9755492,-0.70479102,-0.04949348,0.03319011,-0.08268359
20131226,0.89634839,0.88027469,-1.22260038,0.34217813,0.0333374,0.30884073
20131227,-0.1918613,0.05444565,0.59725281,0.49475933,0.0333374,0.46142193
20131230,0.70235365,0.71435085,0.05432437,-0.13614305,0.0333374,-0.16948045
20131231,0.05988475,0.80803339,-0.47715334,0.31640735,0.0333374,0.28306995
20140101,1.36761968,1.81689618,-1.48982678,0.23097146,0.0333374,0.19763406
20140102,0.10065251,-0.79607988,1.78133163,-1.50072327,0.03348463,-1.5342079
20140103,0.49858946,-0.35312436,0.01411056,0.09562671,0.03348463,0.06214208
20140106,1.1151603,0.88824392,0.28985466,0.03145114,0.03348463,-0.00203349
20140107,1.39221674,0.45291558,0.27566258,-0.59756196,0.03348463,-0.63104659
20140108,0.16768593,0.22472615,-0.55705289,0.44342065,0.03348463,0.40993602
20140109,-0.52837255,-0.81577452,0.48483049,-0.12608884,0.03348463,-0.15957347
20140110,-0.0877647,-0.63057438,1.33259939,-0.19305156,0.03348463,-0.22653619
20140113,-0.63130629,-0.84815799,0.93530585,0.98277277,0.03348463,0.94928814
20140114,0.38690465,-0.38494416,0.59167693,-0.41660989,0.03348463,-0.45009452
20140115,-0.98946734,-0.3913319,-0.40160869,0.79975906,0.03348463,0.76627443
20140116,-0.46749291,-0.53905716,0.21687453,-0.18225082,0.03348463,-0.21573545
20140117,-0.74259347,-1.16013502,0.43784759,-1.0755908,0.03348463,-1.10907543
20140120,-0.17904313,-0.89623351,0.38064957,0.83188798,0.03348463,0.79840335
20140121,0.05020233,0.36496266,-0.82227493,-0.01721529,0.03348463,-0.05069992
20140122,-0.14193881,0.38964169,0.15675963,0.34626088,0.03348463,0.31277625
20140123,0.17869982,0.03949532,0.06082199,-0.11966566,0.0333374,-0.15300306
20140124,-0.02768407,-0.76253221,1.26990881,-1.25505653,0.0333374,-1.28839393
20140127,0.28503499,-1.78682933,2.70677743,-2.2050143,0.0333374,-2.2383517
20140128,0.0147595,-0.00964623,0.00115618,-0.14486535,0.0333374,-0.17820275
20140129,0.0421016,-0.34163802,0.4071853,0.13246549,0.0333374,0.09912809
20140130,-0.03785044,-1.4784468,1.50328067,-0.94543807,0.03410975,-0.97954782
20140131,-0.28053048,0.16763887,-0.24588934,0.93229792,0.03410975,0.89818817
20140203,1.24393636,0.08029296,0.7445211,-1.18426857,0.03410975,-1.21837832
20140204,0.17497528,0.43020515,-0.13323233,0.10999636,0.03410975,0.07588661
20140205,0.34456192,0.0325367,-0.27049839,0.46973244,0.03410975,0.43562269
20140206,-0.52169136,-0.28311592,0.34519517,0.32957307,0.03440359,0.29516948
20140207,-0.44932853,0.51662058,-0.72764979,0.38777167,0.03440359,0.35336808
20140210,0.35080344,0.03873801,0.2899672,-0.23416652,0.03440359,-0.26857011
20140211,-0.34579258,-0.32023696,0.02746167,0.14822033,0.03440359,0.11381674
20140212,0.21562647,-0.32473653,0.10470867,0.19227839,0.03440359,0.1578748
20140213,0.47455798,-1.00769845,1.10768245,-1.20705642,0.03488063,-1.24193705
20140214,-0.52324739,-0.72966723,0.38055479,0.46278343,0.03488063,0.4279028
20140217,-0.19729249,-0.75111617,0.43352049,0.10805928,0.03488063,0.07317865
20140218,-0.06754129,-0.21165306,-0.39390162,0.60639414,0.03488063,0.57151351
20140219,0.49516929,-0.13597471,0.68042478,0.45878817,0.03488063,0.42390754
20140220,0.30739113,-0.2423484,-0.1287748,-0.57219986,0.03488063,-0.60708049
20140221,-0.1790585,0.03999462,0.33611576,0.72207973,0.03488063,0.6871991
20140224,0.13676359,0.034679,0.30019792,0.19493216,0.03488063,0.16005153
20140225,0.3757158,-0.08536516,0.37997295,0.15881605,0.03488063,0.12393542
20140226,0.12568267,-0.02945986,0.60320998,0.28973063,0.03488063,0.25485
20140228,-0.84480698,-0.58749116,0.33207265,0.73917022,0.03502729,0.70414293
20140303,0.70091397,-0.23260785,0.38320491,-0.60127056,0.03502729,-0.63629785
20140304,-0.75543819,-0.16461722,-1.000272,1.17338026,0.03502729,1.13835297
20140305,-0.256756,0.39882872,-0.89982538,0.5394723,0.03502729,0.50444501
20140306,-0.19272551,1.28494827,-1.3484745,1.22427454,0.0351739,1.18910064
20140307,-1.51055177,0.4186628,-2.5589286,1.15057014,0.0351739,1.11539624
20140310,0.51023638,0.62207763,-1.45783931,0.14754334,0.0351739,0.11236944
20140311,0.8991927,0.44807099,-0.1232822,-0.36946846,0.0351739,-0.40464236
20140312,0.26912131,-0.34139989,1.00673176,0.03405102,0.0351739,-0.00112288
20140313,-0.19953537,-0.28334416,-0.35566705,-0.24481603,0.03546697,-0.280283
20140314,-0.35374064,-0.42950431,0.28290468,-0.0951612,0.03546697,-0.13062817
20140318,0.01034085,-0.66996015,-0.36117864,0.59524766,0.03546697,0.55978069
20140319,0.218541,0.50693351,-0.32265445,-0.02874362,0.03546697,-0.06421059
20140320,0.75352452,-0.47641168,1.81540523,-0.36692159,0.0351739,-0.40209549
20140321,0.71019613,1.01609634,0.23026221,0.26160788,0.0351739,0.22643398
20140322,0.42249873,0.10336397,-0.1443286,0.21558941,0.0351739,0.18041551
20140324,-1.23916343,-0.63900447,-0.56421036,0.94789983,0.0351739,0.91272593
20140325,-0.44304595,-0.33336792,-0.35821764,0.20267406,0.0351739,0.16750016
20140326,-0.91944535,-0.16749105,-0.75624727,0.26725977,0.0351739,0.23208587
20140327,0.1987182,0.64728884,-0.80769484,0.80520902,0.03396275,0.77124627
